,_code,pre_score,post_score,score_diff,_student,maxlevel,_object_id,nbhelp,nbteachercall
0,1,67,78,11,mqDmUa3,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,4,0.0
1,1,67,78,11,mqDmUa3,8,https://py-rates.org/xAPI/activities/helps/control,5,0.0
2,1,67,78,11,mqDmUa3,8,https://py-rates.org/xAPI/activities/helps/implementation,22,0.0
3,1,67,78,11,mqDmUa3,8,https://py-rates.org/xAPI/activities/helps/notion,10,0.0
4,1,67,78,11,mqDmUa3,8,https://py-rates.org/xAPI/activities/helps/solution,8,0.0
5,2,67,78,11,GcmQWAa,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,17,1.0
6,2,67,78,11,GcmQWAa,5,https://py-rates.org/xAPI/activities/helps/control,5,1.0
7,2,67,78,11,GcmQWAa,5,https://py-rates.org/xAPI/activities/helps/implementation,1,1.0
8,2,67,78,11,GcmQWAa,5,https://py-rates.org/xAPI/activities/helps/notion,8,1.0
9,2,67,78,11,GcmQWAa,5,https://py-rates.org/xAPI/activities/helps/solution,2,1.0
10,3,33,22,-11,8hYqYSG,6,https://py-rates.org/xAPI/activities/helps/control,2,0.0
11,3,33,22,-11,8hYqYSG,6,https://py-rates.org/xAPI/activities/helps/implementation,4,0.0
12,3,33,22,-11,8hYqYSG,6,https://py-rates.org/xAPI/activities/helps/notion,5,0.0
13,3,33,22,-11,8hYqYSG,6,https://py-rates.org/xAPI/activities/helps/solution,2,0.0
14,4,56,44,-12,XdF2sz6,3,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,0.0
15,4,56,44,-12,XdF2sz6,3,https://py-rates.org/xAPI/activities/helps/implementation,1,0.0
16,4,56,44,-12,XdF2sz6,3,https://py-rates.org/xAPI/activities/helps/notion,1,0.0
17,5,44,56,12,Rj6mATf,7,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,0.0
18,5,44,56,12,Rj6mATf,7,https://py-rates.org/xAPI/activities/helps/control,3,0.0
19,5,44,56,12,Rj6mATf,7,https://py-rates.org/xAPI/activities/helps/implementation,3,0.0
20,5,44,56,12,Rj6mATf,7,https://py-rates.org/xAPI/activities/helps/notion,5,0.0
21,5,44,56,12,Rj6mATf,7,https://py-rates.org/xAPI/activities/helps/solution,1,0.0
22,6,44,56,12,nddvPEB,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,8,2.0
23,6,44,56,12,nddvPEB,4,https://py-rates.org/xAPI/activities/helps/solution,3,2.0
24,7,78,78,0,rtaygH1,7,https://py-rates.org/xAPI/activities/helps/ask-teacher,5,1.0
25,7,78,78,0,rtaygH1,7,https://py-rates.org/xAPI/activities/helps/implementation,1,1.0
26,7,78,78,0,rtaygH1,7,https://py-rates.org/xAPI/activities/helps/solution,1,1.0
27,9,22,22,0,Q3kVGXG,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,2,0.0
28,9,22,22,0,Q3kVGXG,5,https://py-rates.org/xAPI/activities/helps/notion,3,0.0
29,9,22,22,0,Q3kVGXG,5,https://py-rates.org/xAPI/activities/helps/solution,2,0.0
30,10,67,67,0,BxHq3Cn,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,0.0
31,10,67,67,0,BxHq3Cn,8,https://py-rates.org/xAPI/activities/helps/control,8,0.0
32,10,67,67,0,BxHq3Cn,8,https://py-rates.org/xAPI/activities/helps/implementation,5,0.0
33,10,67,67,0,BxHq3Cn,8,https://py-rates.org/xAPI/activities/helps/notion,6,0.0
34,10,67,67,0,BxHq3Cn,8,https://py-rates.org/xAPI/activities/helps/solution,4,0.0
35,11,56,44,-12,Y18BWBS,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,7,4.0
36,11,56,44,-12,Y18BWBS,5,https://py-rates.org/xAPI/activities/helps/notion,6,4.0
37,12,44,67,23,8uynbDg,7,https://py-rates.org/xAPI/activities/helps/ask-teacher,10,2.0
38,12,44,67,23,8uynbDg,7,https://py-rates.org/xAPI/activities/helps/control,2,2.0
39,12,44,67,23,8uynbDg,7,https://py-rates.org/xAPI/activities/helps/implementation,3,2.0
40,12,44,67,23,8uynbDg,7,https://py-rates.org/xAPI/activities/helps/notion,3,2.0
41,12,44,67,23,8uynbDg,7,https://py-rates.org/xAPI/activities/helps/solution,2,2.0
42,24,56,89,33,HcN3TGD,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,14,3.0
43,24,56,89,33,HcN3TGD,8,https://py-rates.org/xAPI/activities/helps/control,3,3.0
44,24,56,89,33,HcN3TGD,8,https://py-rates.org/xAPI/activities/helps/implementation,1,3.0
45,24,56,89,33,HcN3TGD,8,https://py-rates.org/xAPI/activities/helps/notion,5,3.0
46,24,56,89,33,HcN3TGD,8,https://py-rates.org/xAPI/activities/helps/solution,1,3.0
47,26,44,78,34,6xExMYw,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,1.0
48,26,44,78,34,6xExMYw,8,https://py-rates.org/xAPI/activities/helps/control,6,1.0
49,26,44,78,34,6xExMYw,8,https://py-rates.org/xAPI/activities/helps/implementation,7,1.0
50,26,44,78,34,6xExMYw,8,https://py-rates.org/xAPI/activities/helps/notion,3,1.0
51,26,44,78,34,6xExMYw,8,https://py-rates.org/xAPI/activities/helps/solution,1,1.0
52,28,78,67,-11,5eKc43c,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,0.0
53,28,78,67,-11,5eKc43c,8,https://py-rates.org/xAPI/activities/helps/control,5,0.0
54,28,78,67,-11,5eKc43c,8,https://py-rates.org/xAPI/activities/helps/implementation,2,0.0
55,28,78,67,-11,5eKc43c,8,https://py-rates.org/xAPI/activities/helps/notion,9,0.0
56,28,78,67,-11,5eKc43c,8,https://py-rates.org/xAPI/activities/helps/solution,1,0.0
57,29,33,44,11,DMTs6iy,6,https://py-rates.org/xAPI/activities/helps/ask-teacher,8,2.0
58,29,33,44,11,DMTs6iy,6,https://py-rates.org/xAPI/activities/helps/control,1,2.0
59,29,33,44,11,DMTs6iy,6,https://py-rates.org/xAPI/activities/helps/implementation,3,2.0
60,29,33,44,11,DMTs6iy,6,https://py-rates.org/xAPI/activities/helps/notion,6,2.0
61,29,33,44,11,DMTs6iy,6,https://py-rates.org/xAPI/activities/helps/solution,4,2.0
62,30,56,44,-12,eHuZtre,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,1.0
63,30,56,44,-12,eHuZtre,8,https://py-rates.org/xAPI/activities/helps/control,2,1.0
64,30,56,44,-12,eHuZtre,8,https://py-rates.org/xAPI/activities/helps/implementation,2,1.0
65,30,56,44,-12,eHuZtre,8,https://py-rates.org/xAPI/activities/helps/notion,1,1.0
66,31,22,44,22,LahVD8s,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,6,0.0
67,31,22,44,22,LahVD8s,4,https://py-rates.org/xAPI/activities/helps/notion,3,0.0
68,33,56,67,11,BWgeNTq,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,2,2.0
69,33,56,67,11,BWgeNTq,4,https://py-rates.org/xAPI/activities/helps/implementation,3,2.0
70,33,56,67,11,BWgeNTq,4,https://py-rates.org/xAPI/activities/helps/notion,5,2.0
71,33,56,67,11,BWgeNTq,4,https://py-rates.org/xAPI/activities/helps/solution,2,2.0
72,35,22,44,22,g9AnsLe,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,11,5.0
73,35,22,44,22,g9AnsLe,8,https://py-rates.org/xAPI/activities/helps/control,5,5.0
74,35,22,44,22,g9AnsLe,8,https://py-rates.org/xAPI/activities/helps/implementation,10,5.0
75,35,22,44,22,g9AnsLe,8,https://py-rates.org/xAPI/activities/helps/notion,14,5.0
76,35,22,44,22,g9AnsLe,8,https://py-rates.org/xAPI/activities/helps/solution,5,5.0
77,36,56,44,-12,Ee6est8,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,9,1.0
78,36,56,44,-12,Ee6est8,8,https://py-rates.org/xAPI/activities/helps/control,7,1.0
79,36,56,44,-12,Ee6est8,8,https://py-rates.org/xAPI/activities/helps/implementation,7,1.0
80,36,56,44,-12,Ee6est8,8,https://py-rates.org/xAPI/activities/helps/notion,12,1.0
81,36,56,44,-12,Ee6est8,8,https://py-rates.org/xAPI/activities/helps/solution,5,1.0
82,37,89,78,-11,vEEvsMa,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,8,1.0
83,37,89,78,-11,vEEvsMa,8,https://py-rates.org/xAPI/activities/helps/control,1,1.0
84,37,89,78,-11,vEEvsMa,8,https://py-rates.org/xAPI/activities/helps/implementation,35,1.0
85,37,89,78,-11,vEEvsMa,8,https://py-rates.org/xAPI/activities/helps/notion,4,1.0
86,37,89,78,-11,vEEvsMa,8,https://py-rates.org/xAPI/activities/helps/solution,7,1.0
87,38,33,67,34,1c9tb2d,7,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,0.0
88,38,33,67,34,1c9tb2d,7,https://py-rates.org/xAPI/activities/helps/implementation,3,0.0
89,38,33,67,34,1c9tb2d,7,https://py-rates.org/xAPI/activities/helps/notion,3,0.0
90,38,33,67,34,1c9tb2d,7,https://py-rates.org/xAPI/activities/helps/solution,1,0.0
91,41,22,33,11,HNJ75xA,7,https://py-rates.org/xAPI/activities/helps/ask-teacher,7,6.0
92,41,22,33,11,HNJ75xA,7,https://py-rates.org/xAPI/activities/helps/control,3,6.0
93,41,22,33,11,HNJ75xA,7,https://py-rates.org/xAPI/activities/helps/implementation,8,6.0
94,41,22,33,11,HNJ75xA,7,https://py-rates.org/xAPI/activities/helps/notion,6,6.0
95,41,22,33,11,HNJ75xA,7,https://py-rates.org/xAPI/activities/helps/solution,4,6.0
96,42,33,22,-11,md7tB97,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,8,1.0
97,42,33,22,-11,md7tB97,5,https://py-rates.org/xAPI/activities/helps/implementation,6,1.0
98,42,33,22,-11,md7tB97,5,https://py-rates.org/xAPI/activities/helps/notion,1,1.0
99,43,67,78,11,NmHW4Ra,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,13,2.0
100,43,67,78,11,NmHW4Ra,8,https://py-rates.org/xAPI/activities/helps/control,3,2.0
101,43,67,78,11,NmHW4Ra,8,https://py-rates.org/xAPI/activities/helps/implementation,7,2.0
102,43,67,78,11,NmHW4Ra,8,https://py-rates.org/xAPI/activities/helps/notion,7,2.0
103,43,67,78,11,NmHW4Ra,8,https://py-rates.org/xAPI/activities/helps/solution,2,2.0
104,44,56,89,33,Mw8Es3C,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,10,3.0
105,44,56,89,33,Mw8Es3C,8,https://py-rates.org/xAPI/activities/helps/control,4,3.0
106,44,56,89,33,Mw8Es3C,8,https://py-rates.org/xAPI/activities/helps/implementation,11,3.0
107,44,56,89,33,Mw8Es3C,8,https://py-rates.org/xAPI/activities/helps/notion,6,3.0
108,44,56,89,33,Mw8Es3C,8,https://py-rates.org/xAPI/activities/helps/solution,4,3.0
109,45,44,33,-11,GBLHCx9,6,https://py-rates.org/xAPI/activities/helps/ask-teacher,16,2.0
110,45,44,33,-11,GBLHCx9,6,https://py-rates.org/xAPI/activities/helps/control,1,2.0
111,45,44,33,-11,GBLHCx9,6,https://py-rates.org/xAPI/activities/helps/implementation,11,2.0
112,45,44,33,-11,GBLHCx9,6,https://py-rates.org/xAPI/activities/helps/notion,4,2.0
113,45,44,33,-11,GBLHCx9,6,https://py-rates.org/xAPI/activities/helps/solution,10,2.0
114,138,56,67,11,Zp5DN9E,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,6,
115,138,56,67,11,Zp5DN9E,5,https://py-rates.org/xAPI/activities/helps/implementation,3,
116,138,56,67,11,Zp5DN9E,5,https://py-rates.org/xAPI/activities/helps/notion,2,
117,138,56,67,11,Zp5DN9E,5,https://py-rates.org/xAPI/activities/helps/solution,1,
118,139,22,22,0,bdMCaSs,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,24,
119,139,22,22,0,bdMCaSs,5,https://py-rates.org/xAPI/activities/helps/control,4,
120,139,22,22,0,bdMCaSs,5,https://py-rates.org/xAPI/activities/helps/implementation,9,
121,139,22,22,0,bdMCaSs,5,https://py-rates.org/xAPI/activities/helps/notion,5,
122,139,22,22,0,bdMCaSs,5,https://py-rates.org/xAPI/activities/helps/solution,4,
123,140,44,67,23,Mei7hqy,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,24,
124,140,44,67,23,Mei7hqy,8,https://py-rates.org/xAPI/activities/helps/control,14,
125,140,44,67,23,Mei7hqy,8,https://py-rates.org/xAPI/activities/helps/implementation,11,
126,140,44,67,23,Mei7hqy,8,https://py-rates.org/xAPI/activities/helps/notion,13,
127,140,44,67,23,Mei7hqy,8,https://py-rates.org/xAPI/activities/helps/solution,6,
128,141,44,56,12,BYJvbXV,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,11,
129,141,44,56,12,BYJvbXV,4,https://py-rates.org/xAPI/activities/helps/control,9,
130,141,44,56,12,BYJvbXV,4,https://py-rates.org/xAPI/activities/helps/implementation,6,
131,141,44,56,12,BYJvbXV,4,https://py-rates.org/xAPI/activities/helps/notion,4,
132,141,44,56,12,BYJvbXV,4,https://py-rates.org/xAPI/activities/helps/solution,5,
133,142,33,44,11,5GhAmwR,3,https://py-rates.org/xAPI/activities/helps/ask-teacher,2,
134,142,33,44,11,5GhAmwR,3,https://py-rates.org/xAPI/activities/helps/control,1,
135,142,33,44,11,5GhAmwR,3,https://py-rates.org/xAPI/activities/helps/implementation,1,
136,142,33,44,11,5GhAmwR,3,https://py-rates.org/xAPI/activities/helps/notion,1,
137,144,33,22,-11,qfQUQ2x,3,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,
138,144,33,22,-11,qfQUQ2x,3,https://py-rates.org/xAPI/activities/helps/control,1,
139,144,33,22,-11,qfQUQ2x,3,https://py-rates.org/xAPI/activities/helps/implementation,15,
140,144,33,22,-11,qfQUQ2x,3,https://py-rates.org/xAPI/activities/helps/notion,3,
141,144,33,22,-11,qfQUQ2x,3,https://py-rates.org/xAPI/activities/helps/solution,2,
142,145,44,56,12,8WFnTds,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,7,
143,145,44,56,12,8WFnTds,5,https://py-rates.org/xAPI/activities/helps/implementation,2,
144,145,44,56,12,8WFnTds,5,https://py-rates.org/xAPI/activities/helps/notion,5,
145,145,44,56,12,8WFnTds,5,https://py-rates.org/xAPI/activities/helps/solution,2,
146,146,44,78,34,2SEMvYB,3,https://py-rates.org/xAPI/activities/helps/ask-teacher,7,
147,146,44,78,34,2SEMvYB,3,https://py-rates.org/xAPI/activities/helps/control,6,
148,146,44,78,34,2SEMvYB,3,https://py-rates.org/xAPI/activities/helps/implementation,5,
149,146,44,78,34,2SEMvYB,3,https://py-rates.org/xAPI/activities/helps/notion,2,
150,146,44,78,34,2SEMvYB,3,https://py-rates.org/xAPI/activities/helps/solution,2,
151,147,44,56,12,R1rDmDy,6,https://py-rates.org/xAPI/activities/helps/ask-teacher,5,
152,147,44,56,12,R1rDmDy,6,https://py-rates.org/xAPI/activities/helps/control,4,
153,147,44,56,12,R1rDmDy,6,https://py-rates.org/xAPI/activities/helps/implementation,3,
154,147,44,56,12,R1rDmDy,6,https://py-rates.org/xAPI/activities/helps/notion,7,
155,147,44,56,12,R1rDmDy,6,https://py-rates.org/xAPI/activities/helps/solution,2,
156,148,33,33,0,p5yq6TV,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,
157,148,33,33,0,p5yq6TV,4,https://py-rates.org/xAPI/activities/helps/control,4,
158,148,33,33,0,p5yq6TV,4,https://py-rates.org/xAPI/activities/helps/implementation,4,
159,148,33,33,0,p5yq6TV,4,https://py-rates.org/xAPI/activities/helps/notion,3,
160,148,33,33,0,p5yq6TV,4,https://py-rates.org/xAPI/activities/helps/solution,3,
161,149,44,33,-11,CEq6Scv,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,12,
162,149,44,33,-11,CEq6Scv,8,https://py-rates.org/xAPI/activities/helps/control,9,
163,149,44,33,-11,CEq6Scv,8,https://py-rates.org/xAPI/activities/helps/implementation,6,
164,149,44,33,-11,CEq6Scv,8,https://py-rates.org/xAPI/activities/helps/notion,8,
165,149,44,33,-11,CEq6Scv,8,https://py-rates.org/xAPI/activities/helps/solution,5,
166,150,67,56,-11,q7RqbZu,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,7,
167,150,67,56,-11,q7RqbZu,5,https://py-rates.org/xAPI/activities/helps/control,1,
168,150,67,56,-11,q7RqbZu,5,https://py-rates.org/xAPI/activities/helps/implementation,15,
169,150,67,56,-11,q7RqbZu,5,https://py-rates.org/xAPI/activities/helps/notion,3,
170,150,67,56,-11,q7RqbZu,5,https://py-rates.org/xAPI/activities/helps/solution,3,
171,151,44,78,34,zr2EQTj,6,https://py-rates.org/xAPI/activities/helps/ask-teacher,12,
172,151,44,78,34,zr2EQTj,6,https://py-rates.org/xAPI/activities/helps/control,1,
173,151,44,78,34,zr2EQTj,6,https://py-rates.org/xAPI/activities/helps/implementation,4,
174,151,44,78,34,zr2EQTj,6,https://py-rates.org/xAPI/activities/helps/notion,4,
175,151,44,78,34,zr2EQTj,6,https://py-rates.org/xAPI/activities/helps/solution,14,
176,152,67,67,0,ZdpLcBU,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,2,
177,152,67,67,0,ZdpLcBU,5,https://py-rates.org/xAPI/activities/helps/implementation,4,
178,152,67,67,0,ZdpLcBU,5,https://py-rates.org/xAPI/activities/helps/notion,3,
179,152,67,67,0,ZdpLcBU,5,https://py-rates.org/xAPI/activities/helps/solution,2,
180,153,44,33,-11,S8qUtcV,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,5,
181,153,44,33,-11,S8qUtcV,4,https://py-rates.org/xAPI/activities/helps/control,2,
182,153,44,33,-11,S8qUtcV,4,https://py-rates.org/xAPI/activities/helps/implementation,9,
183,153,44,33,-11,S8qUtcV,4,https://py-rates.org/xAPI/activities/helps/notion,3,
184,153,44,33,-11,S8qUtcV,4,https://py-rates.org/xAPI/activities/helps/solution,10,
185,154,33,22,-11,SizqTY2,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,
186,154,33,22,-11,SizqTY2,4,https://py-rates.org/xAPI/activities/helps/control,1,
187,154,33,22,-11,SizqTY2,4,https://py-rates.org/xAPI/activities/helps/implementation,4,
188,154,33,22,-11,SizqTY2,4,https://py-rates.org/xAPI/activities/helps/notion,2,
189,154,33,22,-11,SizqTY2,4,https://py-rates.org/xAPI/activities/helps/solution,8,
190,156,78,67,-11,dKiE4sv,6,https://py-rates.org/xAPI/activities/helps/ask-teacher,2,
191,156,78,67,-11,dKiE4sv,6,https://py-rates.org/xAPI/activities/helps/control,6,
192,156,78,67,-11,dKiE4sv,6,https://py-rates.org/xAPI/activities/helps/implementation,4,
193,156,78,67,-11,dKiE4sv,6,https://py-rates.org/xAPI/activities/helps/notion,3,
194,156,78,67,-11,dKiE4sv,6,https://py-rates.org/xAPI/activities/helps/solution,5,
195,157,33,22,-11,Yu55f3v,3,https://py-rates.org/xAPI/activities/helps/control,2,
196,157,33,22,-11,Yu55f3v,3,https://py-rates.org/xAPI/activities/helps/notion,2,
197,157,33,22,-11,Yu55f3v,3,https://py-rates.org/xAPI/activities/helps/solution,2,
198,158,44,78,34,4aXsn9D,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,
199,158,44,78,34,4aXsn9D,8,https://py-rates.org/xAPI/activities/helps/control,3,
200,158,44,78,34,4aXsn9D,8,https://py-rates.org/xAPI/activities/helps/implementation,2,
201,158,44,78,34,4aXsn9D,8,https://py-rates.org/xAPI/activities/helps/notion,4,
202,158,44,78,34,4aXsn9D,8,https://py-rates.org/xAPI/activities/helps/solution,5,
203,159,33,56,23,Mz534z4,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,1,
204,159,33,56,23,Mz534z4,5,https://py-rates.org/xAPI/activities/helps/control,2,
205,159,33,56,23,Mz534z4,5,https://py-rates.org/xAPI/activities/helps/implementation,4,
206,159,33,56,23,Mz534z4,5,https://py-rates.org/xAPI/activities/helps/notion,4,
207,159,33,56,23,Mz534z4,5,https://py-rates.org/xAPI/activities/helps/solution,4,
208,160,67,67,0,Dq9RKp5,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,20,
209,160,67,67,0,Dq9RKp5,4,https://py-rates.org/xAPI/activities/helps/control,13,
210,160,67,67,0,Dq9RKp5,4,https://py-rates.org/xAPI/activities/helps/implementation,2,
211,160,67,67,0,Dq9RKp5,4,https://py-rates.org/xAPI/activities/helps/notion,7,
212,160,67,67,0,Dq9RKp5,4,https://py-rates.org/xAPI/activities/helps/solution,1,
213,161,33,44,11,wGUGfck,3,https://py-rates.org/xAPI/activities/helps/control,4,
214,161,33,44,11,wGUGfck,3,https://py-rates.org/xAPI/activities/helps/implementation,6,
215,161,33,44,11,wGUGfck,3,https://py-rates.org/xAPI/activities/helps/notion,11,
216,161,33,44,11,wGUGfck,3,https://py-rates.org/xAPI/activities/helps/solution,2,
217,162,56,67,11,BwnQBA3,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,5,
218,162,56,67,11,BwnQBA3,4,https://py-rates.org/xAPI/activities/helps/control,2,
219,163,56,56,0,x8GeBCs,4,https://py-rates.org/xAPI/activities/helps/ask-teacher,3,
220,163,56,56,0,x8GeBCs,4,https://py-rates.org/xAPI/activities/helps/control,2,
221,163,56,56,0,x8GeBCs,4,https://py-rates.org/xAPI/activities/helps/implementation,8,
222,163,56,56,0,x8GeBCs,4,https://py-rates.org/xAPI/activities/helps/notion,4,
223,163,56,56,0,x8GeBCs,4,https://py-rates.org/xAPI/activities/helps/solution,1,
224,164,22,33,11,AfjMY7h,3,https://py-rates.org/xAPI/activities/helps/ask-teacher,2,
225,164,22,33,11,AfjMY7h,3,https://py-rates.org/xAPI/activities/helps/control,3,
226,164,22,33,11,AfjMY7h,3,https://py-rates.org/xAPI/activities/helps/notion,1,
227,164,22,33,11,AfjMY7h,3,https://py-rates.org/xAPI/activities/helps/solution,2,
228,165,22,33,11,6JGAeK8,4,https://py-rates.org/xAPI/activities/helps/control,1,
229,165,22,33,11,6JGAeK8,4,https://py-rates.org/xAPI/activities/helps/implementation,3,
230,165,22,33,11,6JGAeK8,4,https://py-rates.org/xAPI/activities/helps/notion,2,
231,165,22,33,11,6JGAeK8,4,https://py-rates.org/xAPI/activities/helps/solution,1,
232,166,33,44,11,99fMXPV,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,6,
233,166,33,44,11,99fMXPV,5,https://py-rates.org/xAPI/activities/helps/control,1,
234,166,33,44,11,99fMXPV,5,https://py-rates.org/xAPI/activities/helps/implementation,6,
235,166,33,44,11,99fMXPV,5,https://py-rates.org/xAPI/activities/helps/notion,4,
236,166,33,44,11,99fMXPV,5,https://py-rates.org/xAPI/activities/helps/solution,5,
237,167,56,67,11,SpGsjpW,8,https://py-rates.org/xAPI/activities/helps/ask-teacher,7,
238,167,56,67,11,SpGsjpW,8,https://py-rates.org/xAPI/activities/helps/control,7,
239,167,56,67,11,SpGsjpW,8,https://py-rates.org/xAPI/activities/helps/implementation,10,
240,167,56,67,11,SpGsjpW,8,https://py-rates.org/xAPI/activities/helps/notion,11,
241,167,56,67,11,SpGsjpW,8,https://py-rates.org/xAPI/activities/helps/solution,3,
242,168,33,44,11,u3QiumR,5,https://py-rates.org/xAPI/activities/helps/ask-teacher,11,
243,168,33,44,11,u3QiumR,5,https://py-rates.org/xAPI/activities/helps/control,2,
244,168,33,44,11,u3QiumR,5,https://py-rates.org/xAPI/activities/helps/implementation,5,
245,168,33,44,11,u3QiumR,5,https://py-rates.org/xAPI/activities/helps/notion,8,
246,168,33,44,11,u3QiumR,5,https://py-rates.org/xAPI/activities/helps/solution,1,
