_id,_level,_date,_type,_object_id,_student,_code,_game_time,_game_progression,_duration,_execution_speed_multiplier,_error,_help_predicted_value,_help_prediction_confidence,_game_error_reason,_execution_speed_changed,_lost_level,_stopped_line,_extra_lines_number
67039716456b8e03f1ab8e8c,Level 4,2024-10-07T10:07:05.746+02:00,https://py-rates.org/xAPI/verbs/resumed,https://py-rates.org/xAPI/activities/levels/level4,JEH4PPH,,,,,,,,,,,,,
6703977c456b8e03f1ab8f2d,Level 5,2024-10-07T10:08:48.247+02:00,https://py-rates.org/xAPI/verbs/resumed,https://py-rates.org/xAPI/activities/levels/level5,BxHq3Cn,,,,,,,,,,,,,
670398224c323c03dfa7cdd9,Level 2,2024-10-07T10:11:34.530+02:00,https://py-rates.org/xAPI/verbs/leaved,https://py-rates.org/xAPI/activities/levels/level2,XPnMMcz,,,,,,,,,,,,,
670398224c323c03dfa7cdda,Level 3,2024-10-07T10:11:34.668+02:00,https://py-rates.org/xAPI/verbs/resumed,https://py-rates.org/xAPI/activities/levels/level3,XPnMMcz,,,,,,,,,,,,,
6703a0e5456b8e03f1ab9ade,Level 1,2024-10-07T09:55:44.672+02:00,https://py-rates.org/xAPI/verbs/started,https://py-rates.org/xAPI/activities/levels/level1,LpWbtMn,,,,,,,,,,,,,
6703a596456b8e03f1aba080,Level 4,2024-10-07T11:03:49.792+02:00,https://py-rates.org/xAPI/verbs/copied,https://py-rates.org/xAPI/activities/contents/code-editor,GWDnaUv,avancer(),PT1152S,,,,,,,,,,,
6703a596456b8e03f1aba081,Level 4,2024-10-07T11:03:51.699+02:00,https://py-rates.org/xAPI/verbs/pasted,https://py-rates.org/xAPI/activities/properties/copied-text,GWDnaUv,avancer(),PT1153S,,,,,,,,,,,
6703a596456b8e03f1aba082,Level 4,2024-10-07T11:03:54.076+02:00,https://py-rates.org/xAPI/verbs/pasted,https://py-rates.org/xAPI/activities/properties/copied-text,GWDnaUv,avancer(),PT1156S,,,,,,,,,,,
6703a596456b8e03f1aba083,Level 4,2024-10-07T11:03:55.781+02:00,https://py-rates.org/xAPI/verbs/launched,https://py-rates.org/xAPI/activities/programs/fully-executed,GWDnaUv,"avancer()\nmessage = lire_chaine()\nma_var = message\nif ma_var == ""droi"":\n	droite()\n	avancer()\n	avancer()\nelse:\n	gauche()\n	avancer()\n	avancer()\n\n\n\n	",PT1161S,20,PT3.444S,3,,,,,,,,
6703a596456b8e03f1aba084,Level 4,2024-10-07T11:04:23.752+02:00,https://py-rates.org/xAPI/verbs/consulted,https://py-rates.org/xAPI/activities/contents/for-counter-n,GWDnaUv,,PT1189S,,PT3.916S,,,,,,,,,
6703a596456b8e03f1aba085,Level 4,2024-10-07T11:04:33.351+02:00,https://py-rates.org/xAPI/verbs/consulted,https://py-rates.org/xAPI/activities/contents/while-simple,GWDnaUv,,PT1236S,,PT43.131S,,,,,,,,,
6703a596456b8e03f1aba086,Level 4,2024-10-07T11:05:39.764+02:00,https://py-rates.org/xAPI/verbs/consulted,https://py-rates.org/xAPI/activities/contents/while-simple,GWDnaUv,,PT1271S,,PT11.949S,,,,,,,,,
6703a596456b8e03f1aba087,Level 4,2024-10-07T11:05:56.130+02:00,https://py-rates.org/xAPI/verbs/consulted,https://py-rates.org/xAPI/activities/contents/while-simple,GWDnaUv,,PT1321S,,PT45.448S,,,,,,,,,
6703a596456b8e03f1aba088,Level 4,2024-10-07T11:07:05.311+02:00,https://py-rates.org/xAPI/verbs/launched,https://py-rates.org/xAPI/activities/programs/syntactic-error,GWDnaUv,"avancer()\nmessage = lire_chaine()\nma_var = message\nwhile message:\n	if ma_var == ""droi"":\n	droite()\n	avancer()\n	avancer()\nelse:\n	gauche()\n	avancer()\n	avancer()\n\n\n\n	",PT1344S,,PT0.023S,3,Ligne 5 : Cette structure nécessite un corps. Vérifier le décalage des lignes (indentation).,,,,,,,
